Season,Day,Hours,Obj_NoEV (EUR),Obj_WithEV (EUR),Obj_Diff (%),Profit_DA_NoEV (EUR),Profit_DA_WithEV (EUR),Profit_aFRR_E_NoEV (EUR),Profit_aFRR_E_WithEV (EUR),Profit_AS_NoEV (EUR),Profit_AS_WithEV (EUR),aFRR_E_Actual_WithEV (EUR),aFRR_E_Expected_Diff (%),Power_Pos_NoEV (kW),Power_Pos_WithEV (kW),Power_Neg_NoEV (kW),Power_Neg_WithEV (kW),Time_NoEV (s),Time_WithEV (s),Status
Winter,1,24,6308.533463698071,6242.334908786557,-1.0493493502483175,0.0,0.0,3496.1967791086677,3057.1484877633857,3107.8368039487596,3452.640895684826,3085.6639207753474,-12.557882724702196,38045.365424407435,29469.23777777779,32740.79271402485,23238.158202523853,1.7186799049377441,0.40579771995544434,success
Spring,91,24,6635.280085163815,5811.509372742058,-12.415010396677463,0.9464288088642661,0.946428808864266,7239.638124932315,6384.540588078227,204.6739013850416,204.67390138504163,7200.567649115653,-11.81132982198723,99893.3,100385.22000000002,101103.12465373962,101103.12465373962,11.614396810531616,10.623698234558105,success
Summer,182,24,6321.986942501218,5914.854640543904,-6.439942152051293,1.3745875548920591e-14,0.0,3137.3289562242103,2737.80501457398,3488.33888,3488.33888,3127.6355773000005,-12.734525044229322,54051.98522807018,53708.72000000001,50476.659532487734,50096.31024930748,2.5733649730682373,1.9158010482788086,success
Autumn,274,24,10629.65943697235,9867.23590454464,-7.172605453151489,0.0,0.0,11391.45491576621,10674.971431310303,0.0,0.0,11304.482622279167,-6.289657376989359,104812.50000000001,105360.32,106720.99722991686,107328.0,5.548220634460449,3.2678232192993164,success
